,now_cost,element_type,code,team,team_code,cost,teamname
0,45,2,58822,1,3,4.5,ARS
1,45,1,80201,1,3,4.5,ARS
2,50,3,84450,1,3,5.0,ARS
3,45,3,153256,1,3,4.5,ARS
4,45,2,156074,1,3,4.5,ARS
5,50,3,167199,1,3,5.0,ARS
6,65,3,184029,1,3,6.5,ARS
7,50,2,192895,1,3,5.0,ARS
8,55,3,195735,1,3,5.5,ARS
9,45,2,198869,1,3,4.5,ARS
10,70,4,205533,1,3,7.0,ARS
11,60,3,209289,1,3,6.0,ARS
12,80,3,223340,1,3,8.0,ARS
13,45,2,223723,1,3,4.5,ARS
14,50,1,225321,1,3,5.0,ARS
15,50,2,226597,1,3,5.0,ARS
16,45,2,437626,1,3,4.5,ARS
17,45,3,437742,1,3,4.5,ARS
18,60,3,444145,1,3,6.0,ARS
19,45,2,92371,1,3,4.5,ARS
20,50,3,154043,1,3,5.0,ARS
21,45,3,198849,1,3,4.5,ARS
22,50,3,200641,1,3,5.0,ARS
23,40,1,224068,1,3,4.0,ARS
24,60,3,438098,1,3,6.0,ARS
25,45,2,462424,1,3,4.5,ARS
26,50,3,479683,1,3,5.0,ARS
27,80,4,205651,1,3,8.0,ARS
28,50,2,206325,1,3,5.0,ARS
29,70,3,84583,2,7,7.0,AVL
30,70,4,84939,2,7,7.0,AVL
31,50,1,98980,2,7,5.0,AVL
32,45,2,101184,2,7,4.5,AVL
33,50,2,101188,2,7,5.0,AVL
34,50,3,110504,2,7,5.0,AVL
35,40,1,111782,2,7,4.0,AVL
36,45,3,122775,2,7,4.5,AVL
37,55,3,122806,2,7,5.5,AVL
38,45,2,123354,2,7,4.5,AVL
39,45,2,149484,2,7,4.5,AVL
40,75,4,178301,2,7,7.5,AVL
41,45,3,184704,2,7,4.5,AVL
42,60,3,195546,2,7,6.0,AVL
43,50,2,199796,2,7,5.0,AVL
44,45,2,199798,2,7,4.5,AVL
45,50,3,215711,2,7,5.0,AVL
46,50,3,230046,2,7,5.0,AVL
47,55,3,232653,2,7,5.5,AVL
48,45,3,478912,2,7,4.5,AVL
49,45,3,490094,2,7,4.5,AVL
50,50,2,165659,2,7,5.0,AVL
51,50,3,193488,2,7,5.0,AVL
52,55,4,221239,2,7,5.5,AVL
53,50,3,226944,2,7,5.0,AVL
54,45,4,433979,2,7,4.5,AVL
55,45,3,481624,2,7,4.5,AVL
56,40,2,203368,2,7,4.0,AVL
57,45,2,155561,2,7,4.5,AVL
58,45,2,54469,3,91,4.5,BOU
59,50,3,56872,3,91,5.0,BOU
60,45,2,81012,3,91,4.5,BOU
61,55,3,111317,3,91,5.5,BOU
62,55,3,128309,3,91,5.5,BOU
63,55,4,128340,3,91,5.5,BOU
64,50,3,133845,3,91,5.0,BOU
65,50,3,152551,3,91,5.0,BOU
66,45,2,154131,3,91,4.5,BOU
67,60,4,154566,3,91,6.0,BOU
68,50,3,155408,3,91,5.0,BOU
69,45,3,156687,3,91,4.5,BOU
70,55,3,158499,3,91,5.5,BOU
71,55,3,168991,3,91,5.5,BOU
72,45,2,223911,3,91,4.5,BOU
73,45,1,229600,3,91,4.5,BOU
74,45,2,235530,3,91,4.5,BOU
75,50,3,244085,3,91,5.0,BOU
76,55,3,444180,3,91,5.5,BOU
77,45,2,447932,3,91,4.5,BOU
